date,method,t_df,ewma_sigma
2025-07-24,Monte Carlo (Student-t),5.1129,
2025-07-25,Parametric (t + EWMA),8.0515,0.0073
2025-07-25,Monte Carlo (Student-t),5.1119,
2025-07-28,Parametric (t + EWMA),8.0492,0.0072
2025-07-28,Monte Carlo (Student-t),5.1113,
2025-07-29,Parametric (t + EWMA),8.0419,0.007
2025-07-29,Monte Carlo (Student-t),5.1103,
2025-07-30,Parametric (t + EWMA),8.0423,0.0068
2025-07-30,Monte Carlo (Student-t),5.1093,
2025-07-31,Parametric (t + EWMA),8.0338,0.0066
2025-07-31,Monte Carlo (Student-t),5.1079,
2025-08-01,Parametric (t + EWMA),8.0385,0.0065
2025-08-01,Monte Carlo (Student-t),5.1078,
2025-08-04,Parametric (t + EWMA),8.402,0.0077
2025-08-04,Monte Carlo (Student-t),5.1028,
2025-08-05,Parametric (t + EWMA),8.4296,0.0082
2025-08-05,Monte Carlo (Student-t),5.104,
2025-08-06,Parametric (t + EWMA),8.4279,0.008
2025-08-06,Monte Carlo (Student-t),5.103,
2025-08-07,Parametric (t + EWMA),8.445,0.0083
2025-08-07,Monte Carlo (Student-t),5.1035,
2025-08-08,Parametric (t + EWMA),8.4342,0.008
2025-08-08,Monte Carlo (Student-t),5.1021,
2025-08-11,Parametric (t + EWMA),8.3912,0.0082
2025-08-11,Monte Carlo (Student-t),5.0811,
2025-08-12,Parametric (t + EWMA),8.392,0.008
2025-08-12,Monte Carlo (Student-t),5.081,
2025-08-13,Parametric (t + EWMA),8.4063,0.0082
2025-08-13,Monte Carlo (Student-t),5.0813,
2025-08-14,Parametric (t + EWMA),8.3955,0.008
2025-08-14,Monte Carlo (Student-t),5.08,
2025-08-15,Parametric (t + EWMA),8.3807,0.0078
2025-08-15,Monte Carlo (Student-t),5.0753,
2025-08-18,Parametric (t + EWMA),8.3787,0.0075
2025-08-18,Monte Carlo (Student-t),5.073,
2025-08-19,Parametric (t + EWMA),8.3655,0.0073
2025-08-19,Monte Carlo (Student-t),5.0709,
2025-08-20,Parametric (t + EWMA),8.3776,0.0073
