date,method,confidence,window_start,window_days,var_usd,es_usd,actual_pnl_usd,breach
2025-10-15,Parametric (Normal),0.97,2020-11-16,1233,23118114.1197787,28086031.661094464,4880280.444239142,False
2025-10-15,Parametric (Normal),0.99,2020-11-16,1233,28833683.69153354,33180660.762812093,4880280.444239142,False
2025-10-15,Monte Carlo (Student-t),0.95,2020-11-16,1233,18333890.04126918,28328515.29052055,4880280.444239142,False
2025-10-15,Monte Carlo (Student-t),0.97,2020-11-16,1233,22540726.50744087,33721412.30216557,4880280.444239142,False
2025-10-15,Monte Carlo (Student-t),0.99,2020-11-16,1233,32493905.189767275,47790771.69927505,4880280.444239142,False
2025-10-16,Historical,0.95,2020-11-16,1234,19359262.030118562,29018097.928979862,-5264155.46668464,False
2025-10-16,Historical,0.97,2020-11-16,1234,24177427.144236766,33860587.16723381,-5264155.46668464,False
2025-10-16,Historical,0.99,2020-11-16,1234,35093664.1973665,43352150.08889325,-5264155.46668464,False
2025-10-16,Parametric (Normal),0.95,2020-11-16,1234,20080559.790386327,25438880.630855326,-5264155.46668464,False
2025-10-16,Parametric (Normal),0.97,2020-11-16,1234,23106081.7298124,28072167.721010145,-5264155.46668464,False
2025-10-16,Parametric (Normal),0.99,2020-11-16,1234,28819544.110367574,33164918.557145678,-5264155.46668464,False
2025-10-16,Monte Carlo (Student-t),0.95,2020-11-16,1234,18185408.310169246,28511830.083373953,-5264155.46668464,False
2025-10-16,Monte Carlo (Student-t),0.97,2020-11-16,1234,21874931.437687423,34226151.428878754,-5264155.46668464,False
2025-10-16,Monte Carlo (Student-t),0.99,2020-11-16,1234,33326776.82455479,50300559.95343411,-5264155.46668464,False
2025-10-17,Historical,0.95,2020-11-17,1234,19359262.030118562,29018097.928979862,6260185.389321536,False
2025-10-17,Historical,0.97,2020-11-17,1234,24177427.144236766,33860587.16723381,6260185.389321536,False
2025-10-17,Historical,0.99,2020-11-17,1234,35093664.1973665,43352150.08889325,6260185.389321536,False
2025-10-17,Parametric (Normal),0.95,2020-11-17,1234,20090687.33092143,25448332.50339369,6260185.389321536,False
2025-10-17,Parametric (Normal),0.97,2020-11-17,1234,23115827.761212688,28081287.54403785,6260185.389321536,False
2025-10-17,Parametric (Normal),0.99,2020-11-17,1234,28828569.691500697,33173396.199748248,6260185.389321536,False
2025-10-17,Monte Carlo (Student-t),0.95,2020-11-17,1234,18370829.706269402,26994539.42613229,6260185.389321536,False
2025-10-17,Monte Carlo (Student-t),0.97,2020-11-17,1234,22333476.1296369,31568307.246310163,6260185.389321536,False
2025-10-17,Monte Carlo (Student-t),0.99,2020-11-17,1234,30438107.64013566,43445230.298223265,6260185.389321536,False
2025-10-20,Historical,0.95,2020-11-20,1232,19364995.884855352,29018097.928979862,11322586.899475535,False
2025-10-20,Historical,0.97,2020-11-20,1232,24193627.462494124,33860587.16723381,11322586.899475535,False
2025-10-20,Historical,0.99,2020-11-20,1232,35095985.25923014,43352150.08889325,11322586.899475535,False
2025-10-20,Parametric (Normal),0.95,2020-11-20,1232,20096462.22475696,25457729.045892514,11322586.899475535,False
2025-10-20,Parametric (Normal),0.97,2020-11-20,1232,23123647.5825197,28092463.905430328,11322586.899475535,False
