date,method,t_df,ewma_sigma
2025-12-01,Monte Carlo (Student-t),4.9234,
2025-12-02,Parametric (t + EWMA),7.1272,0.0077
2025-12-02,Monte Carlo (Student-t),4.9232,
2025-12-03,Parametric (t + EWMA),7.1208,0.0074
2025-12-03,Monte Carlo (Student-t),4.9222,
2025-12-04,Parametric (t + EWMA),7.13,0.0077
2025-12-04,Monte Carlo (Student-t),4.9232,
2025-12-05,Parametric (t + EWMA),7.0989,0.0075
2025-12-05,Monte Carlo (Student-t),4.9196,
2025-12-08,Parametric (t + EWMA),7.0744,0.0073
2025-12-08,Monte Carlo (Student-t),4.9157,
2025-12-09,Parametric (t + EWMA),7.0826,0.0072
2025-12-09,Monte Carlo (Student-t),4.9161,
2025-12-10,Parametric (t + EWMA),7.0779,0.007
2025-12-10,Monte Carlo (Student-t),4.9151,
2025-12-11,Parametric (t + EWMA),7.0841,0.0071
2025-12-11,Monte Carlo (Student-t),4.9155,
2025-12-12,Parametric (t + EWMA),7.0869,0.0071
2025-12-12,Monte Carlo (Student-t),4.916,
2025-12-15,Parametric (t + EWMA),7.1037,0.0069
2025-12-15,Monte Carlo (Student-t),4.9184,
2025-12-16,Parametric (t + EWMA),7.0881,0.0067
2025-12-16,Monte Carlo (Student-t),4.917,
2025-12-17,Parametric (t + EWMA),7.0915,0.0066
2025-12-17,Monte Carlo (Student-t),4.9166,
2025-12-18,Parametric (t + EWMA),7.0967,0.0066
2025-12-18,Monte Carlo (Student-t),4.9163,
2025-12-19,Parametric (t + EWMA),7.0913,0.0064
2025-12-19,Monte Carlo (Student-t),4.9154,
2025-12-22,Parametric (t + EWMA),7.0824,0.0064
2025-12-22,Monte Carlo (Student-t),4.9147,
2025-12-23,Parametric (t + EWMA),7.0765,0.0064
2025-12-23,Monte Carlo (Student-t),4.9142,
2025-12-24,Parametric (t + EWMA),7.0704,0.0062
2025-12-24,Monte Carlo (Student-t),4.9131,
2025-12-26,Parametric (t + EWMA),7.0732,0.0061
2025-12-26,Monte Carlo (Student-t),4.9134,
2025-12-29,Parametric (t + EWMA),7.2917,0.0059
2025-12-29,Monte Carlo (Student-t),4.9005,
2025-12-30,Parametric (t + EWMA),7.2641,0.0058
2025-12-30,Monte Carlo (Student-t),4.8954,
2025-12-31,Parametric (t + EWMA),7.2587,0.0056
2025-12-31,Monte Carlo (Student-t),4.8944,
