date,method,confidence,window_start,window_days,var_usd,es_usd,actual_pnl_usd,breach
2025-01-24,Parametric (Normal),0.95,2020-02-24,1237,21439422.23,27091251.38,-1704254.3,False
2025-01-24,Parametric (Normal),0.97,2020-02-24,1237,24630670.68,29868779.86,-1704254.3,False
2025-01-24,Parametric (Normal),0.99,2020-02-24,1237,30657094.66,35240492.09,-1704254.3,False
2025-01-24,Parametric (t + EWMA),0.95,2020-02-24,1237,12747050.5,17417885.57,-1704254.3,False
2025-01-24,Parametric (t + EWMA),0.97,2020-02-24,1237,15118293.38,19805727.16,-1704254.3,False
2025-01-24,Parametric (t + EWMA),0.99,2020-02-24,1237,20166347.1,25042957.87,-1704254.3,False
2025-01-27,Historical,0.95,2020-02-27,1235,17560312.33,31605590.96,-497856.28,False
2025-01-27,Historical,0.97,2020-02-27,1235,24112260.0,38843535.35,-497856.28,False
2025-01-27,Historical,0.99,2020-02-27,1235,34403974.58,57428151.72,-497856.28,False
2025-01-27,Monte Carlo (Student-t),0.95,2020-02-27,1235,20065492.1,29961551.83,-497856.28,False
2025-01-27,Monte Carlo (Student-t),0.97,2020-02-27,1235,24501393.09,35213451.41,-497856.28,False
2025-01-27,Monte Carlo (Student-t),0.99,2020-02-27,1235,34842599.5,48397939.43,-497856.28,False
2025-01-27,Parametric (Normal),0.95,2020-02-27,1235,21281107.29,26907375.95,-497856.28,False
2025-01-27,Parametric (Normal),0.97,2020-02-27,1235,24457923.27,29672343.01,-497856.28,False
2025-01-27,Parametric (Normal),0.99,2020-02-27,1235,30457092.65,35019761.58,-497856.28,False
2025-01-27,Parametric (t + EWMA),0.95,2020-02-27,1235,12288688.06,16838259.67,-497856.28,False
2025-01-27,Parametric (t + EWMA),0.97,2020-02-27,1235,14595218.1,19165185.85,-497856.28,False
2025-01-27,Parametric (t + EWMA),0.99,2020-02-27,1235,19512441.22,24276279.89,-497856.28,False
2025-01-28,Historical,0.95,2020-02-28,1235,17428989.08,31196493.53,-2980613.78,False
2025-01-28,Historical,0.97,2020-02-28,1235,23115641.28,38324525.67,-2980613.78,False
2025-01-28,Historical,0.99,2020-02-28,1235,34131866.31,56762235.76,-2980613.78,False
2025-01-28,Monte Carlo (Student-t),0.95,2020-02-28,1235,19596835.06,30263165.31,-2980613.78,False
2025-01-28,Monte Carlo (Student-t),0.97,2020-02-28,1235,24471910.97,35957832.78,-2980613.78,False
2025-01-28,Monte Carlo (Student-t),0.99,2020-02-28,1235,34888048.61,50403430.56,-2980613.78,False
2025-01-28,Parametric (Normal),0.95,2020-02-28,1235,21152006.5,26754191.36,-2980613.78,False
2025-01-28,Parametric (Normal),0.97,2020-02-28,1235,24315223.8,29507322.71,-2980613.78,False
